Ngay,Khu_vuc,Doanh_thu
2024-02-26,Ha Noi,10012622
2024-02-26,TP.HCM,13671931
2024-02-26,Da Nang,9893272
2024-02-27,Ha Noi,10890142
2024-02-27,TP.HCM,14314595
2024-02-27,Da Nang,9752018
2024-02-28,Ha Noi,10292393
2024-02-28,TP.HCM,13198482
2024-02-28,Da Nang,9794446
2024-02-29,Ha Noi,10184536
2024-02-29,TP.HCM,13993631
2024-02-29,Da Nang,9551830
